Country,Happiness score,Whisker-high,Whisker-low, GDP per capita, Social support,Healthy life expectancy,Freedom to make life choices, Generosity,Perceptions of corruption,Dystopia (1.85) + residual,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education
Sierra Leone,4.709,4.851,4.567,0.368,0.984,0.006,0.319,0.293,0.071,2.668,73.41,88.51,75.1,56.61,99.04,96.68,76.52,81.8,98.2,80.25,63.44,58.52,69.43,53.29,48.87,54.87
Slovakia,6.098,6.177,6.019,1.325,1.505,0.713,0.296,0.137,0.024,2.098,47.1,43.49,58.63,39.19,54.89,21.87,23.34,73.85,71.16,58.91,49.64,54.8,56.83,44.67,50.43,4.82
Slovenia,5.758,5.842,5.674,1.341,1.453,0.791,0.573,0.243,0.045,1.313,80.22,93.22,83.87,63.56,98.95,99.02,86.09,88.84,96.4,88.99,69.79,80.31,78.48,68.67,50.02,57.04
Somalia,5.151,5.242,5.06,0.023,0.721,0.114,0.602,0.292,0.282,3.117,84.32,94.05,86.04,72.87,99.41,99.15,84.84,92.81,99.36,84.35,76.31,84.15,79.87,80.85,63.76,67
South Africa,4.829,4.929,4.729,1.055,1.385,0.187,0.479,0.139,0.073,1.511,67.25,67.48,69.79,64.5,88.64,73.02,62.82,45.43,86.32,78.83,53.39,60.6,74.71,72.94,60.7,49.65
South Korea,5.838,5.923,5.753,1.402,1.128,0.9,0.258,0.207,0.063,1.88,82.08,91.74,83.96,70.54,99.22,92.44,88.16,87.13,97.25,86.36,72.44,79.78,72.43,70.04,63.28,76.4
Spain,6.403,6.471,6.335,1.384,1.532,0.889,0.409,0.19,0.071,1.928,86.96,92.28,90.98,77.63,99.37,99.95,86.43,83.37,99.55,86.74,84.92,92.7,84.67,75.36,77.99,72.51
Sri Lanka,4.44,4.553,4.327,1.01,1.26,0.625,0.561,0.491,0.074,0.419,66.16,76.3,72.75,49.42,87.19,78.05,71.29,68.68,95.47,64.22,62.15,69.15,53.6,66.21,34.11,43.76
Sweden,7.284,7.344,7.224,1.494,1.478,0.831,0.613,0.385,0.384,2.098,89.66,95.36,90.4,83.21,99.46,99.78,88.19,94.02,95.04,92.8,80.95,92.81,93.51,87.15,78.8,73.36
Switzerland,7.494,7.562,7.426,1.565,1.517,0.858,0.62,0.291,0.367,2.277,90.1,96.18,91.75,82.37,99.42,99.96,91.38,93.96,98.77,92.19,83.05,92.99,90.74,89.02,75.17,74.57
Tajikistan,5.041,5.111,4.971,0.525,1.271,0.529,0.472,0.249,0.146,1.849,58.87,71.91,67.97,36.74,78.36,67.83,72.92,68.52,93.58,58.74,65.89,53.68,16.35,48.02,46.83,35.78
Tanzania,3.349,3.461,3.237,0.511,1.042,0.365,0.39,0.354,0.066,0.621,50.21,47.45,61.35,41.84,69.96,23.51,34.52,61.8,68.75,55.34,59.09,62.21,50.86,55.35,43.03,18.13
